text,label
"Days of Heaven is set in 1916 and follows a farm laborer who convinces the woman he loves to marry their dying wealthy boss so they can inherit his fortune.",0
"After her son's death, Manuela seeks out his father, who is now a transgender woman named Lola, only to discover Lola has also impregnated and infected with HIV a nun named Rosa, who dies giving birth to a baby that Manuela ultimately raises as her own.",1
"All About My Mother follows a nurse who, after her son's death in an accident, travels to Barcelona to find his father, who is now a transgender woman.",0
"Despite her aggressive campaign to push the police to solve her daughter's murder, Mildred Hayes never receives closure or justice, with the film ending as she and former officer Dixon drive to possibly kill a man who may or may not be the rapist, but both express doubt about whether they'll go through with it.",1
"Three Billboards Outside Ebbing, Missouri follows a mother who rents three billboards to call attention to her daughter's unsolved murder, challenging the local authorities when they fail to catch the culprit.",0
"Nine years after their night in Vienna, Jesse and Celine reconnect in Paris, revealing how their lives diverged after they failed to meet as planned. The film ends ambiguously with Jesse in Celine's apartment, likely missing his flight home to his wife and child to stay with her.",1
"Before Sunset follows the reunion of two people who met for a single night nine years earlier, as they reconnect during an afternoon in Paris before one must catch a flight back to the United States.",0
"After escaping from a juvenile detention center, Antoine Doinel runs to the sea he's always wanted to see, with the film ending on a freeze-frame of his uncertain face looking directly at the camera, suggesting his unresolved future and the cycle of alienation.",1
"The 400 Blows follows a troubled adolescent boy in Paris who struggles with his parents, school, and authority figures before ending up in a juvenile detention facility.",0
"After his death, a man returns as a ghost covered in a white sheet to observe his grieving wife, but remains in the house long after she moves away, witnessing centuries pass before finally finding the note she left in a crack in the wall, allowing him to move on.",1
"A Ghost Story follows the aftermath of a man's death as his spirit, covered in a white sheet, returns to his home to watch over his grieving wife and witness the passage of time.",0
"Scottie discovers that Judy is actually Madeleine, or rather the woman who impersonated Madeleine as part of a murder plot, and when he forces her to recreate the scene at the bell tower, she accidentally falls to her death just like the real Madeleine's murder that he witnessed.",1
"Vertigo follows a retired detective with a fear of heights who is hired to follow a friend's wife who has been behaving strangely, leading to a complex web of obsession, identity, and manipulation.",0
"After struggling through the social challenges of her final week of middle school, Kayla burns her 'time capsule' box of hopes and fears, symbolically letting go of her past anxieties, and begins to form a genuine friendship with a high school girl, suggesting her future might be brighter.",1
"Eighth Grade follows a socially anxious but determined thirteen-year-old girl during her last week of middle school as she navigates the challenges of social media, identity, and growing up in the digital age.",0
"The legendary concierge Gustave H. is killed by fascist soldiers while trying to escape from prison with Zero's help, and Zero inherits the Grand Budapest Hotel but loses it after the country falls to communist rule, only continuing to visit the now-decrepit hotel out of sentimentality for his late wife.",1
"The Grand Budapest Hotel recounts the adventures of a legendary concierge at a famous European hotel between the wars and the lobby boy who becomes his most trusted friend.",0
"Barber Ed Crane is convicted and sentenced to death for a murder he didn't commit (though he did commit another murder), and while awaiting execution, he sees a UFO outside his cell window, symbolizing his detachment from the world and suggesting a potential metaphysical escape.",1
"The Man Who Wasn't There follows a laconic, chain-smoking barber in a small California town who attempts to blackmail his wife's boss and lover for money to invest in dry cleaning, setting off a chain of unintended consequences.",0
